Species;Order;Life_Expectancy;Body_Mass;RDI;N_Death;Necropsy_Effort;Animal;Vertebrate;Invertebrate;Herptile;Mammal;Group;Occurence;Proportion;Prevalence
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Circulatory system;0;0;0
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Lymphatic system;2;0.181818182;0.002832861
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Diaphragm;0;0;0
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Uro-genital system;1;0.090909091;0.001416431
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Digestive system;4;0.363636364;0.005665722
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Nervous system;1;0.090909091;0.001416431
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Skin;0;0;0
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Respiratory system;1;0.090909091;0.001416431
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Exocrine system;0;0;0
Aepyceros_melampus;Artiodactyla;2861.501157;48.14976489;230;706;0.325779037;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Rarely or Never;Fat tissues;0;0;0
